Keyword,Avg Monthly Search Intent,Competition,Trend,Seasonality,Opportunity,Notes
creatine,High,Medium,↑ +28.7% YoY,Jan + Jul peaks,🔴 High,Fastest growing keyword in category
creatine monohydrate,High,Medium,↑ Growing,Jan + Jul peaks,🔴 High,More specific — buyer intent
best creatine for women,Medium,Low,↑ Growing,Jan peak,🔴 High,Underserved audience — gap in market
protein powder,High,High,→ +4.9% YoY,Oct + Jan peaks,🟡 Medium,Saturated — needs strong differentiator
best protein powder women,Medium,Medium,→ Stable,Jan peak,🟡 Medium,Identity angle works (see Black Girl Vitamins)
collagen powder,Medium,Low,↑ Growing,Jan peak,🔴 High,Black Girl Vitamins winning here — proof of demand
pre workout,Medium,High,→ Flat,Jan peak,⚪ Low,Saturated — no growth signal
pre workout for women,Medium,Low,→ Stable,Jan peak,🟡 Medium,Less competition than generic term
weight loss supplements,Low,High,↓ -18.2% YoY,No clear peak,🔴 Avoid,Declining demand — market moved to performance
omega 3 benefits,Medium,Low,↑ +16.9% YoY,Jul peak,🟡 Medium,Educational angle — top of funnel