Dimension,Persona 1: Fitness Women (25-40),Persona 2: Gym Bros (18-30),Persona 3: Health-Conscious Beginners (30-50)
DRIVER PERSONA,"Woman training 4-5x/week, wants visible results, follows fitness creators on TikTok/Instagram","Male 18-30, lifts daily, tracks macros, competitive mindset, influenced by YouTube fitness","Adult 30-50 starting fitness journey, overwhelmed by options, wants simple and trustworthy"
CONCEPT (Angle),"Identity + Performance: ""Women who train hard deserve better supplements""","Performance + Science: ""The only creatine backed by real data""","Simplicity + Trust: ""One scoop. Proven results. No BS"""
TRIGGER,Seeing other women get results / Fear of missing out on gains,Plateau in performance / Wants to optimize every variable,Information overload / Wants someone to just tell them what works
FORMAT,Short video 15-30s — transformation or routine,Video 30-60s — gym POV or data breakdown,Carousel or video — before/after or simple explainer
HOOK TYPE,Emotional — identity and community,Rational — science and proof,Authority — simple and trustworthy
HOOK EXAMPLE,This is what happens when women actually take creatine,I tested every creatine for 90 days. Here's what actually worked,Stop guessing. This is the only supplement you actually need
PLATFORM,TikTok + Instagram Reels,YouTube + Instagram,Facebook + Instagram
KEYWORD SIGNAL,best creatine for women ↑,creatine monohydrate ↑,creatine benefits ↑
MARKET GAP,No major brand targeting women + creatine,Saturated but high demand,Underserved on Facebook 30-50 demo
OPPORTUNITY SCORE,🔴 High,🟡 Medium,🟡 Medium